,m,pt,phi,eta
0,-0.5384394,-0.58895254,1.0679759,-0.05831954
1,-0.4772344,-0.5774721,0.5508193,0.49347204
2,-0.47520074,-0.5514973,-0.6274591,0.5643192
3,0.5840794,1.8855528,0.46990865,-1.6930923
4,-0.696579,-0.60852253,0.18293001,0.94954187
5,-0.53145754,-0.56222117,-1.3297608,-0.2639804
6,-0.57860434,-0.5915595,0.9365579,-0.82236016
7,0.9881456,1.6095597,1.1853427,-1.2755036
8,-0.5077876,-0.551578,-0.83135283,1.0366809
9,-0.06886819,-0.3374675,-0.39649636,-0.19389611
10,-0.1687865,-0.35233122,0.9055017,-0.28586817
11,1.8218297,1.4336385,1.4972441,1.3148954
12,2.1782377,1.1186091,1.3515948,0.21700507
13,0.33961135,1.9863563,0.4248647,-1.8507655
14,-0.59624636,-0.556191,-0.26037472,-1.4990208
15,-0.6694478,-0.60467666,0.16430107,0.5654672
16,-0.64086235,-0.60984707,1.2960523,-1.1141813
17,-0.546906,-0.5482039,-1.6617391,0.17768198
18,-1.0981517,-0.54038024,1.1758677,1.9042821
19,-0.16494384,-0.3320011,-1.5272853,1.0713351
20,0.4405114,0.065384,0.0810231,0.38442612
21,0.82634914,0.093736276,1.1105224,1.184901
22,-0.52434504,-0.56942844,-0.3155617,-0.47037724
23,0.114041284,-0.24149601,1.2750028,-1.5420425
24,1.4508936,1.0937388,0.239444,-0.97298604
25,-0.5457387,-0.5297333,-0.98025244,1.4070673
26,-0.5084647,-0.55582494,-1.4917942,0.6737831
27,0.020149142,1.1308169,1.4791762,-1.2803354
28,-0.39403197,-0.44507182,-1.7371951,1.3513024
29,-0.6933894,-0.6137026,0.8877415,-0.8264269
30,-0.50455356,-0.5782057,1.4859724,-0.7833941
31,-0.40930542,-0.50811374,0.48516005,1.2365491
32,-0.36452267,-0.49371982,-0.78889406,0.4518007
33,-0.48634657,-0.5897246,1.3529963,-0.33821502
34,-0.53428495,-0.5899234,0.47205108,-0.6046703
35,-0.46169516,-0.58079755,1.3878195,0.25352472
36,0.75414336,1.0292473,1.162476,0.6137213
37,-0.45620772,-0.57318884,0.8272615,0.66942424
38,0.73003376,1.4213353,1.373443,0.5357963
39,-0.4622257,-0.52652097,-1.4558306,-1.1282238
40,-0.5258064,-0.5519259,-1.6539747,0.9761613
41,-0.57687056,-0.5864716,0.40806592,1.1970296
42,0.6159409,1.5802045,-0.20078678,-0.111792445
43,3.4841785,2.4558947,-0.8588991,0.8114411
44,-0.46248886,-0.5699057,0.35210013,0.8697844
45,0.403823,1.032949,0.16272353,1.7650957
46,-0.36531803,-0.5171016,1.2465562,-0.5056316
47,-0.45765284,-0.56060797,0.7588052,0.7832963
48,0.1253554,0.0031140894,-1.4831471,-1.3461964
49,1.9762511,4.6776514,1.1600755,0.6915241
50,-0.6730008,-0.58553016,-0.15482976,-0.31852275
51,-0.6468682,-0.5903057,-0.14547856,0.94357544
52,-0.35225788,-0.5087114,1.0841366,-0.613224
53,-0.6945801,-0.55251217,-0.3703736,1.6639245
54,-0.06429714,-0.15306148,0.27389312,-0.39519072
55,-0.50732327,-0.5703516,-0.056564376,-0.019869894
56,-0.5357361,-0.5555947,-1.002704,1.0810242
57,-0.39862922,-0.54596156,0.88049775,0.6639021
58,0.060957998,-0.14536107,0.51672727,-0.6277926
59,-0.7269789,-0.61536455,0.7333369,-0.39443833
60,-0.57157123,-0.5670575,-1.6020529,-0.5872812
61,-0.5426892,-0.5775572,-0.29730886,-0.20934376
62,-0.6421038,-0.55762714,-1.6668402,-0.9476386
63,-0.43650112,-0.53280985,-0.60543793,0.24738872
64,-0.5812893,-0.58628833,0.30456287,-0.83982694
65,-0.01909247,-0.22383182,1.2833849,1.0156567
66,-0.59337175,-0.55909777,-0.973587,-1.1159102
67,-0.29900405,-0.49606788,0.46703404,0.92320246
68,-0.69148254,-0.58193386,-0.19073741,-0.27888292
69,-0.5338322,-0.49079663,-0.42250663,1.9328232
70,-0.48346642,-0.558856,0.2753443,1.2259138
71,0.6066083,2.019936,-0.5153348,0.13904685
72,-0.37861773,-0.51895386,1.466952,-0.019045383
73,-0.52634895,-0.5526587,-1.0780078,0.0037030578
74,-0.47007385,-0.56339264,-0.32886666,0.7715228
75,-0.48418263,-0.5608973,-0.19177876,0.97091156
76,0.98102903,0.8842181,1.4503782,1.4991703
77,-0.48307297,-0.5657456,0.15553945,-0.52564645
78,-0.6093184,-0.57417005,-1.2031846,-0.7255606
79,-0.7124009,-0.587016,-0.25928253,-0.780409
80,-0.42513207,-0.52738523,-1.5046893,-0.4393884
81,-0.5343337,-0.5701431,-0.42594743,-0.015433073
82,-0.8308183,-0.5109732,-1.3691317,-1.9189999
83,-0.59289205,-0.6051272,0.7257129,0.85138315
84,1.4523209,1.3079015,0.10872413,-0.1815457
85,-0.6614388,-0.59754413,0.5691493,0.6644766
86,1.560883,2.660205,1.4439288,-0.10528314
87,1.639038,2.0994785,-0.25196725,-0.22379076
88,0.6995921,1.8563441,-0.8568632,-0.46812856
89,-0.6683601,-0.5919512,0.033687428,-0.39990222
90,-0.58648276,-0.5948197,-0.038098827,-0.548066
91,-0.5944679,-0.58457434,-1.3247424,0.5714661
92,-0.55137205,-0.5869305,0.60361016,-0.40621442
93,-0.64212537,-0.5928716,0.04543148,-1.0976405
94,-0.61785007,-0.59314454,0.18696049,0.7815595
95,-0.86703897,-0.5260594,-0.7818611,3.0034273
96,-0.46730182,-0.54226935,-0.533087,-0.24639197
97,-0.71838725,0.14696138,1.5350598,1.9284599
98,-0.07624924,-0.32643497,-1.5548997,0.7537586
99,1.2530986,1.9754692,0.20041105,0.04691732
100,-0.31436238,-0.48231733,-0.36608356,0.5290471
101,-0.5591303,-0.5703475,-1.4402678,0.7132619
102,1.7692351,0.69605255,-0.79380614,-0.4044732
103,-0.116122276,-0.37561983,1.6560656,-0.95719236
104,-0.41009268,-0.5602505,1.0935613,0.9943989
105,-0.6806823,-0.632352,0.96757305,-0.56188136
106,-0.7194606,-0.61431223,0.5785161,0.8271275
107,-0.66109407,-0.59907174,-0.008916378,-0.933901
108,-0.52693677,-0.5889691,0.81426954,0.89507943
109,-0.41972557,-0.53206193,0.22706462,-0.3973258
110,-0.324446,-0.48857713,1.4586443,-1.0387415
111,-0.4620134,-0.52890766,-1.494971,-0.03061384
112,-0.6368681,-0.62520087,1.183992,-0.52379775
113,-0.61329246,-0.56731033,-1.4427084,-0.64295447
114,-0.47661474,-0.5599475,0.9966889,-0.924626
115,-0.56962156,-0.54183984,-0.9124592,1.283159
116,-0.30820677,-0.48416317,0.17089407,0.9044495
117,0.61993206,0.20626415,-0.6124561,-0.73317975
118,1.9215615,1.5499017,-1.201291,-0.69046235
119,-0.7096975,-0.57709944,-0.853147,-0.7983004
120,1.4575673,1.8544521,0.36803895,0.7751599
121,-0.46704963,-0.5280338,-1.3260776,0.18472987
122,-0.3221483,-0.48179984,-1.4729866,-0.93078285
123,-0.46178934,-0.62184954,1.6948886,0.88264745
124,-0.54261696,-0.587644,1.5723273,-0.90262073
125,-0.3210486,-0.48146617,-0.43020838,-0.9183199
126,-0.5535512,-0.5851377,-0.110140935,0.48795748
127,-0.65289223,-0.6389327,1.6051619,-0.8699819
128,-0.1352869,-0.29284936,1.1360431,-1.9838703
129,-0.49145767,-0.568559,1.50481,-0.8770473
130,-0.5054188,-0.5674212,-0.2412392,0.95385295
131,-0.43973204,-0.5346977,-1.2094191,0.8531961
132,0.4547276,0.12755778,-1.3932797,-0.07511696
133,-0.2891458,-0.48088825,1.3919598,-0.78524566
134,-0.59009767,-0.56639975,1.3646145,-1.4208007
135,2.2837057,1.9934974,-1.0965973,-1.433747
136,0.17634392,0.021961644,-1.0454345,1.35214
137,-0.47229335,-0.5701134,0.82251436,-0.49385324
