,m,pt,phi,eta
0,-0.54374343,-0.60155934,1.0809541,-0.07097261
1,-0.4544488,-0.5846541,0.58843356,0.45433214
2,-0.49696633,-0.6024634,-0.59477943,0.51365674
3,0.6439167,1.8793323,0.22217804,-1.7451637
4,-0.70432353,-0.5952755,0.24117237,0.8809602
5,-0.5396045,-0.5816672,-1.2898792,-0.3852051
6,-0.54569983,-0.5988231,0.9768962,-0.8400723
7,1.0336264,1.6556953,1.2572019,-1.2489599
8,-0.54636985,-0.58882433,-0.7881458,1.0128897
9,-0.104692325,-0.29186767,-0.2761723,-0.32354584
10,-0.18012623,-0.36783943,0.8468182,-0.31414068
11,1.7345783,1.319909,0.89342684,1.4156376
12,2.3523939,1.0537788,1.6414862,0.3168548
13,0.3447421,1.9828086,0.29315162,-1.7303035
14,-0.5535792,-0.55351347,-0.23892555,-1.4983479
15,-0.64132047,-0.61514616,0.21971253,0.5494207
16,-0.59275043,-0.58999735,1.3330021,-1.0771269
17,-0.5794072,-0.5870327,-1.5937587,0.12000936
18,-1.1207821,-0.5448486,1.1945398,1.7344284
19,-0.17030835,-0.33243313,-1.5142498,1.0535114
20,0.46505925,0.07609801,0.15193549,0.36153808
21,0.7609576,0.26651895,1.167287,1.0176191
22,-0.49460033,-0.5943258,-0.27813596,-0.50273085
23,0.020937547,-0.12665468,1.1911157,-1.630195
24,1.5201302,0.97773105,0.5724151,-1.0001036
25,-0.59321696,-0.59489876,-0.9647697,1.3726166
26,-0.57806325,-0.60527223,-1.4821403,0.6668173
27,0.09783217,1.1534278,1.2705363,-1.2779793
28,-0.44512013,-0.52186275,-1.6814762,1.3838555
29,-0.6379414,-0.60351664,0.9290544,-0.82279813
30,-0.46357182,-0.592662,1.502963,-0.7763127
31,-0.43231437,-0.5532551,0.51255083,1.1676742
32,-0.38019744,-0.5339589,-0.71396834,0.43615296
33,-0.47387075,-0.58860064,1.3496308,-0.31967402
34,-0.5066675,-0.5923087,0.46659723,-0.6464752
35,-0.4555358,-0.5652902,1.3901066,0.25558674
36,0.8542317,0.98133665,1.336054,0.58104265
37,-0.47872925,-0.5868388,0.8339836,0.65320003
38,0.7279979,1.4323573,1.3786942,0.54574966
39,-0.47345445,-0.5363428,-1.4081337,-1.2502873
40,-0.61524814,-0.584968,-1.646562,0.93700373
41,-0.6064887,-0.5825392,0.45578876,1.0781696
42,0.58985066,1.6322097,-0.10369822,0.07036108
43,3.446764,2.4537818,-1.6022354,0.81336606
44,-0.48261517,-0.58552676,0.41392592,0.8253555
45,0.564484,0.99237233,0.4555782,1.7917753
46,-0.271204,-0.48942673,1.2540014,-0.50493133
47,-0.4630869,-0.577966,0.7809345,0.75786924
48,0.15293741,-0.002557993,-1.5594988,-1.3685449
49,1.9036369,4.7264576,0.95068794,0.97804725
50,-0.6320665,-0.61567336,-0.12564024,-0.33506903
51,-0.66287607,-0.5934245,-0.11204154,0.8813348
52,-0.29357898,-0.4958501,1.0920558,-0.592666
53,-0.67546916,-0.5594419,-0.33511114,1.6281033
54,0.0030727834,-0.23893556,0.2769037,-0.4597786
55,-0.49569598,-0.58848244,0.0020275787,-0.03804715
56,-0.5783014,-0.5918754,-0.953982,1.0764579
57,-0.41790515,-0.5606312,0.8934414,0.65826726
58,0.098053515,-0.21281172,0.456568,-0.65567917
59,-0.67316675,-0.6202134,0.7532677,-0.35723042
60,-0.58495235,-0.5901224,-1.5057056,-0.70347035
61,-0.5122826,-0.59578353,-0.2505766,-0.20435652
62,-0.65631425,-0.5824623,-1.5507097,-1.0068619
63,-0.42236564,-0.55554056,-0.5501754,0.17708135
64,-0.53988504,-0.5942854,0.30327433,-0.85563815
65,0.03071563,-0.19854313,1.4098438,1.0325813
66,-0.5498742,-0.57911867,-0.97883415,-1.1012969
67,-0.34971285,-0.5190674,0.5265838,0.8963529
68,-0.6486224,-0.6212931,-0.1772134,-0.28888184
69,-0.5594931,-0.5561849,-0.37968475,1.9379022
70,-0.5299666,-0.57844114,0.33578798,1.1041827
71,0.6040753,1.9281819,-0.29398793,0.02951327
72,-0.3584776,-0.5229937,1.4432123,0.004947573
73,-0.5410717,-0.58957887,-1.0327272,-0.06667574
74,-0.48422843,-0.5884293,-0.25983647,0.7409282
75,-0.5049095,-0.5855518,-0.15669355,0.92155516
76,0.943918,1.0086433,1.3247938,1.4236687
77,-0.46849787,-0.5799029,0.17510638,-0.5221131
78,-0.6070637,-0.5921449,-1.1221973,-0.820331
79,-0.63706565,-0.60594004,-0.21700746,-0.7825315
80,-0.4559964,-0.5501702,-1.4583181,-0.55168056
81,-0.5105428,-0.589969,-0.38962272,-0.024887562
82,-0.8102747,-0.5507235,-1.322229,-1.9274917
