,m,pt,phi,eta
0,-0.53137416,-0.60045075,1.0991707,-0.0444628
1,-0.48701903,-0.5954497,0.56667787,0.5245755
2,-0.49071783,-0.59665775,-0.61662847,0.5782612
3,0.8153122,1.8117743,0.20465404,-1.3172952
4,-0.74918693,-0.6335106,0.21314996,0.96762514
5,-0.5396128,-0.60976744,-1.3451328,-0.27380282
6,-0.5347575,-0.6058874,0.9799741,-0.7998971
7,1.0844893,1.8188354,1.3121703,-1.3684384
8,-0.5402902,-0.59552646,-0.82326627,1.0830097
9,-0.046809986,-0.2921362,-0.32378381,-0.25101048
10,-0.111979075,-0.3497727,0.92032796,-0.26973987
11,2.0561996,1.2722223,1.572346,1.4605914
12,2.2727625,1.3711715,1.7129867,0.58795696
13,0.37354404,2.0942683,0.40770644,-1.495378
14,-0.5732943,-0.57493806,-0.23581767,-1.4968084
15,-0.69374865,-0.62721086,0.2067315,0.6070124
16,-0.5976379,-0.60730577,1.3093874,-1.1099308
17,-0.58338225,-0.6074166,-1.6510501,0.20866694
18,-1.1268907,-0.61168694,1.2177441,2.045698
19,-0.15983813,-0.3420596,-1.5535266,1.096117
20,0.29035395,0.1833998,0.10914618,0.45934802
21,0.712349,0.35941052,1.121777,1.0973613
22,-0.50751245,-0.5984688,-0.2911161,-0.46469247
23,0.03253381,-0.045466185,1.2311485,-1.6082599
24,1.7473943,0.91681504,0.45932811,-0.73778754
25,-0.58392626,-0.58263755,-1.0261686,1.4913437
26,-0.5558671,-0.6153245,-1.496707,0.7330219
27,0.10459024,1.3663446,1.6386449,-1.4896609
28,-0.44660848,-0.5145676,-1.7145724,1.445465
29,-0.6557809,-0.6283295,0.9039983,-0.7930999
30,-0.45210534,-0.59299254,1.5071342,-0.7711007
31,-0.44481495,-0.53125286,0.50268346,1.2849424
32,-0.3744893,-0.545105,-0.7651648,0.4858443
33,-0.4600193,-0.59675694,1.3553624,-0.28323478
34,-0.5072243,-0.60086656,0.47405833,-0.59192246
35,-0.47238812,-0.58812404,1.4149332,0.2800218
36,0.93451995,0.885545,1.1130481,0.35832173
37,-0.49822393,-0.5952718,0.83702344,0.6866014
38,0.63067424,1.6293205,1.6906707,0.4858052
39,-0.47083107,-0.56449914,-1.440765,-1.1440275
40,-0.6140851,-0.6231649,-1.6345639,1.0242082
41,-0.6292896,-0.6045811,0.41216797,1.2606028
42,0.6109348,1.7181596,-0.18825749,-0.08094178
43,3.5894716,2.599683,-1.61661,0.7177946
44,-0.47744238,-0.57888126,0.38711643,0.9070679
45,0.42742324,1.07851,0.15135646,1.8359253
46,-0.2882794,-0.50554323,1.286664,-0.49007982
47,-0.47783825,-0.58225656,0.78372496,0.8196889
48,0.21228004,0.07739282,-1.5903535,-1.3455353
49,2.7022069,4.414983,1.1394491,0.28366542
50,-0.69304866,-0.64186287,-0.14730981,-0.28638613
51,-0.6833178,-0.62708044,-0.122687995,0.9836712
52,-0.2663486,-0.48765588,1.0958326,-0.5892024
53,-0.74984074,-0.60799026,-0.38223487,1.7417785
54,0.07100396,-0.19045734,0.20309347,-0.37168783
55,-0.4962682,-0.58612156,-0.04783857,-0.0042546242
56,-0.56708515,-0.60183406,-1.0052035,1.1309472
57,-0.425534,-0.5672457,0.89443845,0.6942116
58,0.1343438,-0.13398719,0.4097461,-0.6386335
59,-0.7084871,-0.64804864,0.74714166,-0.3484713
60,-0.59239435,-0.620806,-1.5613104,-0.5775334
61,-0.53778803,-0.60860085,-0.27930775,-0.16313481
62,-0.6644626,-0.63894963,-1.6152661,-0.95975137
63,-0.43779546,-0.54583025,-0.59606963,0.19249062
64,-0.5427028,-0.5991039,0.31468493,-0.81986743
65,0.009722032,-0.19121003,1.3954029,1.0982811
66,-0.569638,-0.6016083,-1.0011555,-1.0865042
67,-0.324844,-0.4957819,0.49993497,0.9545002
68,-0.72007036,-0.6442139,-0.19781926,-0.24337438
69,-0.571092,-0.5442257,-0.38891363,2.0058749
70,-0.5322037,-0.5748184,0.29738635,1.2640436
71,0.8009253,1.7940879,-0.38680178,0.042693794
72,-0.40396625,-0.5396671,1.4683278,-0.01823306
73,-0.5268518,-0.5996928,-1.0851221,0.013839185
74,-0.5014925,-0.5950253,-0.29520625,0.8123173
75,-0.49918967,-0.5838945,-0.19406667,1.0015954
76,1.1244798,0.84407413,1.3875346,1.5653882
77,-0.46367607,-0.58496904,0.15838498,-0.50556815
78,-0.6159064,-0.6212075,-1.160318,-0.7577305
79,-0.66613823,-0.6258776,-0.23223004,-0.74835986
80,-0.43393105,-0.5656061,-1.5079833,-0.4648037
81,-0.5238011,-0.5952122,-0.39916024,0.011173859
82,-0.8190918,-0.6409209,-1.3653803,-1.901298
83,-0.6290395,-0.61916447,0.75356394,0.8994547
84,1.5089719,1.4029417,0.3455354,-0.3898288
85,-0.71545535,-0.63102436,0.5982706,0.6723908
86,1.9013746,2.6481204,1.3311136,-0.21675946
87,1.9774041,1.9601147,-0.529222,-0.35468948
88,0.65651464,2.022179,-1.0311799,-0.27777034
89,-0.65353346,-0.63679457,0.04465884,-0.3814547
90,-0.5638731,-0.61443114,-0.020048559,-0.52813464
91,-0.6433148,-0.6269841,-1.3288984,0.5995576
92,-0.51650316,-0.610239,0.61843413,-0.35038844
93,-0.58639336,-0.5980811,0.042289138,-1.1142839
94,-0.6495347,-0.6246934,0.20457548,0.79682755
95,-0.8435858,-0.54970527,-0.5028277,2.8376713
96,-0.4535394,-0.5789249,-0.5354598,-0.19889754
97,-0.38747644,-0.3190999,1.4545436,2.1518636
98,-0.102935016,-0.3157611,-1.5806139,0.8239696
99,1.4978197,1.874125,0.48891228,0.28045452
100,-0.30870613,-0.5122268,-0.3362639,0.5458876
101,-0.63812387,-0.6320987,-1.447283,0.7795471
102,1.833107,0.9934083,-0.72867006,-0.45175862
103,-0.2812214,-0.5040271,1.5108202,-0.7316229
104,-0.4603261,-0.55753875,1.1167989,1.0349077
105,-0.6678601,-0.64404655,0.9596917,-0.53926814
106,-0.7711595,-0.63593197,0.591636,0.86779916
107,-0.624513,-0.6128919,0.00013697147,-0.9237995
108,-0.568608,-0.6042204,0.8358461,0.9428483
109,-0.3919745,-0.55469847,0.22033614,-0.3738141
110,-0.2710154,-0.47422147,1.4826632,-1.0459384
111,-0.46533087,-0.5786178,-1.4937449,-0.0105950385
112,-0.5870029,-0.6358249,1.1854172,-0.49295497
113,-0.6560175,-0.6342325,-1.4055872,-0.6327584
114,-0.42471552,-0.56426334,1.0094438,-0.8988851
115,-0.6100287,-0.6002958,-0.93393517,1.3588117
116,-0.30415082,-0.48788238,0.1804325,0.927562
117,0.6303453,0.3001901,-0.60608053,-0.6637818
118,2.1667454,1.3951323,-0.8314522,-0.266636
119,-0.65822744,-0.626637,-0.81361914,-0.80357975
120,1.7621498,1.6383306,0.3888595,0.43083078
121,-0.4489175,-0.5578649,-1.3185503,0.18455042
122,-0.31368738,-0.48467088,-1.459672,-0.9715372
123,-0.5203128,-0.58972716,1.6830275,0.91343534
124,-0.47580174,-0.5948036,1.5725327,-0.90792954
125,-0.29589754,-0.48003244,-0.40864068,-0.8924654
126,-0.5731491,-0.61334634,-0.06605661,0.5287953
127,-0.57759565,-0.62415767,1.6350994,-0.8763817
128,-0.14017537,-0.14339232,1.150182,-1.9990876
129,-0.4314772,-0.5799365,1.5237298,-0.86915165
130,-0.5194195,-0.5925007,-0.23720273,0.9756925
131,-0.4660314,-0.5795846,-1.2115576,0.89994776
