,m,pt,phi,eta
0,-0.50629807,-0.54476213,1.0691469,-0.07793896
1,-0.47393322,-0.520368,0.56566215,0.47253054
2,-0.4494203,-0.57262397,-0.63169026,0.519142
3,0.7152948,1.9302016,0.0053775012,-1.5441896
4,-0.7053271,-0.61763966,0.21992156,0.9741158
5,-0.52956605,-0.61227965,-1.3417717,-0.2955673
6,-0.538769,-0.5887915,0.9402829,-0.81752735
7,1.0915242,1.7262201,1.2130493,-1.2707064
8,-0.49554193,-0.5787574,-0.80863667,1.076991
9,-0.05372584,-0.27563816,-0.35615915,-0.22653633
10,-0.15469287,-0.27591437,0.9050429,-0.3134325
11,1.9038433,1.3824341,1.3408715,1.4164963
12,2.3153338,1.1735005,1.2640296,0.41919726
13,0.46670985,2.0329456,0.69159615,-1.7083673
14,-0.6270543,-0.5801357,-0.2520545,-1.491847
15,-0.63816845,-0.6302843,0.16578203,0.5691765
16,-0.6211568,-0.58768666,1.3148203,-1.0917329
17,-0.5837584,-0.6115155,-1.6202155,0.18464077
18,-1.1826655,-0.49579346,1.218237,2.0153315
19,-0.12642121,-0.34986043,-1.5452825,1.0851618
20,0.42040312,0.07938105,-0.016717792,0.42361712
21,0.77806973,0.30475906,1.0594714,1.1574707
22,-0.531103,-0.6073439,-0.3056072,-0.45366555
23,-0.020477057,-0.033753514,1.2650894,-1.6033952
24,1.465928,1.1569129,0.44596484,-0.9764462
25,-0.5551744,-0.5236565,-0.98469806,1.5258039
26,-0.49190235,-0.59489954,-1.4732352,0.6878423
27,0.05697398,1.3141178,1.2385075,-1.2475661
28,-0.4748996,-0.40927684,-1.7114376,1.4757977
29,-0.66561735,-0.6148025,0.86717784,-0.8094077
30,-0.46982276,-0.5451143,1.4875596,-0.77269405
31,-0.44537,-0.5240675,0.51496875,1.2853012
32,-0.34734565,-0.5162871,-0.7889378,0.4463118
33,-0.4401752,-0.52612734,1.339403,-0.32068974
34,-0.5181191,-0.57599604,0.47157937,-0.6059235
35,-0.43716812,-0.49727666,1.3774347,0.25045753
36,0.78638685,1.1091354,1.2421517,0.6513802
37,-0.48384368,-0.52600586,0.81837577,0.65604573
38,0.7748527,1.4541341,1.1966674,0.5246524
39,-0.5222946,-0.5838127,-1.415462,-1.1737849
40,-0.5939005,-0.6092938,-1.628457,0.9952502
41,-0.5952705,-0.60676825,0.4408039,1.224393
42,0.76062393,1.536705,-0.47769672,-0.02948334
43,3.6788564,2.3492486,-1.5272417,0.7626056
44,-0.47510603,-0.54664266,0.37746271,0.86034316
45,0.42739302,1.0750419,0.1088627,1.8999473
46,-0.26546365,-0.42218983,1.2681211,-0.4854921
47,-0.46759644,-0.5323839,0.7358538,0.78969365
48,0.12168318,-0.017271876,-1.5241472,-1.4063799
49,2.085514,4.8381214,1.0930388,0.65507305
50,-0.6618625,-0.62814474,-0.15979505,-0.3157309
51,-0.62929976,-0.6077117,-0.13256282,0.94754803
52,-0.29643595,-0.44027638,1.0838256,-0.5906502
53,-0.68215406,-0.584407,-0.37442857,1.7520558
54,0.027814656,-0.19307095,0.17883004,-0.42635566
55,-0.48493007,-0.5985718,-0.04978949,-0.006615117
56,-0.5233772,-0.5761119,-0.96548927,1.1280144
57,-0.41609424,-0.4973235,0.87512064,0.65770257
58,0.13813192,-0.12416142,0.39901915,-0.7414707
59,-0.6785162,-0.6003493,0.74444324,-0.3793595
60,-0.6075444,-0.63236415,-1.555816,-0.6080835
61,-0.55430764,-0.58045363,-0.2931469,-0.1805937
62,-0.7195408,-0.6469536,-1.5927125,-0.9329866
63,-0.40799576,-0.53919506,-0.5944026,0.20056364
64,-0.56293094,-0.6199275,0.31236336,-0.8148007
65,-0.0110467225,-0.11685717,1.3572896,1.0940403
66,-0.5969616,-0.59886396,-1.0001976,-1.0694844
67,-0.31715167,-0.457749,0.5035909,0.9361889
68,-0.6862713,-0.6242671,-0.20416993,-0.28210244
69,-0.5273842,-0.51845086,-0.39074314,2.0395458
70,-0.49810874,-0.57833457,0.29843238,1.2439626
71,0.6657707,1.9507121,-0.4793768,0.27651533
72,-0.3709538,-0.44484007,1.4378682,-0.035670258
73,-0.5248856,-0.5981519,-1.0759577,-0.028063718
74,-0.46534294,-0.5712929,-0.2914319,0.76856893
75,-0.4738135,-0.56305933,-0.18655062,0.9836383
76,1.0207269,0.9662466,1.3747492,1.5671556
77,-0.4731211,-0.57435095,0.15663508,-0.530638
78,-0.64219713,-0.6155982,-1.1434937,-0.7746845
79,-0.67972493,-0.6406816,-0.22550279,-0.74621814
80,-0.4574601,-0.5883076,-1.4934595,-0.48317307
81,-0.52285004,-0.5884099,-0.46470082,0.014429627
82,-0.8808525,-0.58311665,-1.3345983,-1.8480606
83,-0.59922206,-0.5744165,0.72655857,0.87064487
84,1.5031123,1.2723072,0.3602669,-0.19075549
85,-0.6897777,-0.59233046,0.59835464,0.6595607
